OBJECTID,stormid,month,year,AcresOnLand,Shape__Area,Shape__Length,Total_Store_Count,HD_Store_Count,LOW_Store_Count
1,al012014,07,2014,7348932.37555123,73.0840850798879,58.7512062406434,30,12,18
2,al012015,05,2015,5592854.61281415,20.0953605298596,19.4817962053996,16,6,10
3,al012016,01,2016,544450.772567228,148.734281891138,75.3318884861288,0,0,0
4,al012017,04,2017,0,25.0414153722114,42.07385029007,0,0,0
5,AL012018,05,2018,9951669.85716189,26.8549176747248,30.945150780234,16,5,11
6,AL012019,05,2019,0,2.57965969077998,9.85228182799212,0,0,0
7,AL012020,05,2020,196106.080429299,100.873021354902,60.3771771366169,2,1,1
8,AL012021,05,2021,0,76.1900546060949,51.7320229168157,0,0,0
9,AL012022,06,2022,13321873.6023919,138.246802043783,88.7325951938698,70,51,19
10,al022015,06,2015,7917630.84839827,20.0202100920619,19.6415724336355,64,41,23
11,al022016,05,2016,0,1.90199735132478,8.51944662898147,0,0,0
12,al022016,06,2016,0,0.966999809275649,7.98047476184911,0,0,0
13,al022017,06,2017,2807677.02677572,15.1152779616381,31.6051098437501,0,0,0
14,AL022018,07,2018,0,14.3569841983512,67.349898195905,0,0,0
15,AL022019,07,2019,27194691.7951364,32.5340993622667,27.3973470500069,48,25,23
16,AL022020,05,2020,0,0.40809908903384,3.59986409248536,0,0,0
17,AL022021,06,2021,0,12.5687713122688,37.5496777049437,0,0,0
18,AL022022,06,2022,1947653.80404188,42.2923518123142,63.674106869479,0,0,0
19,AL022022,07,2022,6809837.76595609,81.5904505047412,148.134023187379,0,0,0
20,AL022023,06,2023,0,3.93001429497872,9.62492796687287,0,0,0
21,al032014,07,2014,0,4.28798153351255,18.1116075443962,0,0,0
22,al032014,08,2014,6694736.30466689,96.3112090165703,138.886900511857,8,8,0
23,al032015,07,2015,0,19.3166463867392,49.483393356204,0,0,0
24,al032016,06,2016,20615214.7583342,41.7457928482214,38.0393701643122,163,86,77
25,al032017,06,2017,18609374.6351646,50.5044254901093,40.0891284790968,54,28,26
26,AL032018,07,2018,10923680.6212086,430.040300492464,176.845500273019,0,0,0
27,AL032020,06,2020,123212950.495268,140.730953513663,110.710858532616,77,43,34
28,AL032021,06,2021,24707855.1565901,85.2963010298319,94.1354855123499,85,43,42
29,AL032022,07,2022,2819118.61980197,3.66617957897347,9.16010834613033,17,7,10
30,AL032023,06,2023,721506.515371311,48.7761985297925,86.2371945603216,0,0,0
31,al042014,08,2014,73578.0577309379,169.071301840517,97.8514631588552,0,0,0
32,al042015,08,2015,0,26.0106803895788,71.6129688346639,0,0,0
33,al042016,06,2016,1213282.39384686,5.19499516332348,11.9011276455596,0,0,0
34,AL042018,08,2018,0,49.8592897363247,86.6171795912638,0,0,0
35,AL042019,08,2019,0,5.1138095817181,19.6736193769714,0,0,0
36,AL042020,06,2020,0,6.32438331798676,14.6438546080694,0,0,0
37,AL042021,06,2021,0,2.36456304549984,12.0389443749077,0,0,0
38,AL042023,06,2023,0,13.1593313745668,55.0232928377407,0,0,0
39,al052014,09,2014,2769543.55894311,15.8659571671163,21.6256833835872,0,0,0
40,al052015,08,2015,3477351.64335889,60.424773129735,90.6797955344811,9,9,0
41,al052016,08,2016,30136257.9189563,43.2429616254424,62.30430262084,0,0,0
42,al052017,07,2017,0,1.60982948315046,12.0044065668847,0,0,0
43,AL052018,08,2018,28994674.4242469,135.673855155388,147.419754586112,0,0,0
44,AL052019,08,2019,812098.821370697,47.9525449124055,85.7337416313034,2,2,0
45,AL052019,09,2019,45498513.316788,192.050575660024,86.692390841974,152,74,78
46,AL052020,07,2020,0,33.4086529818038,69.7224110084783,0,0,0
47,AL052021,07,2021,59552450.1914479,147.469930597191,206.439556642404,214,109,105
48,AL052022,09,2022,0,240.693297749694,134.978732731029,0,0,0
49,AL052023,07,2023,0,91.8254102942943,125.599751459463,0,0,0
50,al062014,09,2014,0,184.630589056058,123.361669956844,0,0,0
51,al062015,08,2015,479867.686158181,13.4065129269205,24.7778995290958,0,0,0
52,al062015,09,2015,346173.759882412,22.4724320019713,44.6158865045751,0,0,0
53,al062016,08,2016,0,13.7658662500133,59.3073481742232,0,0,0
54,al062017,07,2017,2257080.22116067,2.77814678111758,10.6038700088251,18,10,8
55,AL062018,09,2018,34529907.6244258,182.860637913302,153.79023553005,124,42,82
56,AL062019,08,2019,0,9.69143635097339,21.8206191198167,0,0,0
57,AL062020,07,2020,8833031.43203335,22.7476812171392,23.6418918711117,172,128,44
58,AL062021,08,2021,12065134.075969,20.9817773730837,44.764910564571,12,6,6
